dialog_id,meme_id,text,actor_id
001529c5-e6c4-4fce-b3d4-feb0045459e7,fe261682-1401-4829-8579-f63c7b6bf255,vidu saavuki bojanalu adugutunnadu,a56bade1-85c4-4d13-8d41-2a42084341ce
00164e57-7086-4fc3-94d6-ee92b0456cf9,8b68d50a-4c44-4b70-955d-6c1df6fffabe,What he really looks like:,dad4ffb8-72a0-4317-9dfd-87385b4280cb
0044432f-5c54-478e-bb24-1e2d4fc8a8d5,262a015c-830f-42ed-ad67-44973266a551,"asalu evaru pilchadra ninnu ",dca01a7f-b202-4bef-9f1e-7f5a1d2893b2
0044d302-65a6-4e52-9c39-88e780fda9f1,016f2303-3339-4169-8faa-2c7ce9042ecb,"Me: Cha, Inkemundhi, Venky maama movie ki podhaam padhaa",7c86cb06-0197-4960-8b6b-ec341437ff6b
004859ae-9483-4b5b-be82-cd8d698e074e,d1460e7f-30ba-4630-b9e9-a88ff431697b,me praising my girl for no reason: isn't she pretty...,3c173e19-e654-48c7-86d1-8bc73af95606
005e4477-4883-4aa7-8899-1395e82cd007,3c8b8470-6acf-4392-9986-d5a1eff995a9,preeti sir,93d09b02-5cb9-4f2a-93ae-dbcc29987a2c
0068acb2-3539-476b-8080-e815bc2a0e00,e4e3bccc-7f89-40f9-84b7-8d9c207db7a4,"nuv kopam control chesuko leva ",6a128e39-ca10-4345-a471-8ff8b5555828
00706ffc-76b0-4422-9983-dbf8da280f52,ca82db88-6fbb-40e5-aafc-5c20299bbc92,Me after listening my future plans: Abbooo pedha planning aeeee,20fd7708-a7f5-4b7a-a61a-ec8be9062a34
007c03f0-1daf-4bd8-a083-f5ef5fbdb078,0de80be3-f2c2-4f4e-863c-fc12a9b96727,some years befors,2643df49-95f4-412e-b822-f6504b3d6575
007f36d0-b258-4be4-87ef-10de8853ff4d,7f022b1e-22fb-4577-94ff-79aa85cc0e6c,"My frnd: Aee edhavaki bhayapadalsina avasaram ledhu ",32d597e9-20ee-4727-a308-97fd9fa647bb
008c798a-778b-4d25-928e-b973257b6beb,66d97a7e-43e4-41e9-a84f-b43c14bb54c9,Csk fan my frnd: Antaraa em chesthav ippudu!,b82b1aed-7f06-4855-878d-4e379707972b
00a348a1-247c-4a36-abf0-0a19f3a9721d,aff23294-4849-46db-bfd9-e03c58d1abb2,"After Australians booing at virat kohli ",20fd7708-a7f5-4b7a-a61a-ec8be9062a34
00aa9d9c-3a94-4c81-a426-cf3943420e8e,8e9f5009-f990-4590-93b0-38285895270c,Me with my dad: Daddy clg first ocha daddy nenu,ce6a087f-e6ef-46a9-8ae1-4f5972bd32a2
00b15613-f68f-4462-97cd-a7d3f47aec3c,767658f8-9f2f-4f7f-aba6-f1b03d908ed8,me one night before exam: Entidhi,7c86cb06-0197-4960-8b6b-ec341437ff6b
00bf06d4-13a8-4c1c-a785-396e70f05327,5a5cd41e-e28d-48ee-a784-9c1f220f32be,"Me and my friends wondering after the results how we passed the exam ",d038c05a-1078-4677-a17e-40c7812b0c05
00cf4466-e7a2-40ee-b615-a5434afa53cb,48f3f1c1-1317-4280-9308-8c7f6304fc4f,Me: Orey yedhava asalu code ni ndhuku kelikavraaaa!!,ce6a087f-e6ef-46a9-8ae1-4f5972bd32a2
00d5cbdd-c6dd-4095-9536-ab035685de2c,f4db7e7f-17e2-44bb-b7f5-1d9f8622921f,appude ela aypo kottav ra,87773893-19c4-4dd5-89bf-e0bcbba567eb
00dea9e6-4489-44b2-b99e-cb47bbc98e89,ae6031e6-57dd-43c4-820c-15fd65903c3b,pilla naayallara,09ecccdd-7fd5-46a5-8b5e-798694d53c70
00eeaf84-b82f-45ad-bea6-c288c64fb9c5,eda580eb-3d18-4af3-aef9-6242a07ad039,Kotha face cream rasukunna ela undhi?,719a31ec-ccc5-470d-8de7-85c9e2f4fb4a
01033755-02b1-4fe9-8745-4ec36a7168a7,91e57f0a-eb9f-4cd8-a2a3-eab821b801a3,"when your grandparents gives money before leaving ",6188e288-1205-4110-b2e7-67adffa2f2dc
010a881c-cc38-4bad-b771-bd279ef2a0c3,46a777a9-a7a4-472f-a304-4d3db7c90508,neeku echa chudu na budhi thakuva ra,a56bade1-85c4-4d13-8d41-2a42084341ce
01149882-8166-4467-b7ec-966629064909,31c8293f-7e0c-43ce-8fdc-d533ec867bae,"When I hear horn in traffic
Me: Aparareyyy",30ed3323-8c4f-4b9b-b093-5bfec225e3f5
011893ec-3fdd-41e7-9a17-46de21290e6b,a7c8cded-7ed5-46d2-862e-620cf3608bff,"arey okkasari gate close chey ra please ra ",9e793cf9-0646-4896-b090-64f45dbe45b6
0129bda0-ecf8-4d04-b63c-952196dab2e9,314c2f66-87a5-4dad-9738-0a53364f4b6b,Telugu Sir: Things wont happen like you think amma,df8d1267-da72-4a96-b250-8a1ed48191ce
01377033-623e-43d9-b2e2-4f9b8bf37e36,f3ff6624-e418-487f-9d28-379c9c8d6f13,"Watching Tv, and Drinking Beer",e97b8ead-4dca-47f3-bb2e-cfa610c0966d
01408f4a-3dd6-411f-803e-ce8ecc4acab4,d61a5447-6f75-467b-abeb-fed5380435e8,"andaru edo oka gift istunnaru ",f18b9515-5058-45e8-bfa1-8d16d304bf17
0152b534-1d52-4d0d-9cbb-c428d0392835,1748d3e4-4595-47d1-8b66-1e614da41ef1,"Eraaa chinnoda nuvve kadha ",30ed3323-8c4f-4b9b-b093-5bfec225e3f5
017e775f-1c6f-492c-9e97-e20677498350,20edd037-6225-4d14-b4a5-a3879b2f3339,that one mosquito at my ear in the night be like: lera nuv nidra lera,e2b3ed78-5e37-4a31-a9b9-374311ede2ad
01cbb62a-8c19-4ab8-8d2c-c2b476835709,899b424e-9ac3-426a-854c-a898052842f8,"Arey, Majak chesina, Friendship anteney Majaaku!!",e97b8ead-4dca-47f3-bb2e-cfa610c0966d
01d00bdb-b46f-4752-9745-1d295477b7cb,04a3aa80-d0ea-44a9-b1bc-5455b74b2564,client:,09ecccdd-7fd5-46a5-8b5e-798694d53c70
01df0650-a6d4-41e9-886d-74119b553d46,7614c073-da79-426b-8868-152343482828,gundu nayala,9e793cf9-0646-4896-b090-64f45dbe45b6
01eae05c-330c-46f3-aca1-16b7d93be7ae,b529cefe-cf30-4694-9330-3a614e739a2d,Evaru ee andhagatte andhame asuyaaa padela undhii!,2cf59b1a-aef4-42cf-953e-69e9d98a4bef
01f4b823-4daf-4bfa-b52a-15b0a5e42128,8411ee49-e7c3-4d0c-8761-2e654d7b8c6d,When your dad found your browsing history,b49cc880-421b-42eb-92a7-176014e87ff1
01f6c9cd-90e7-47e8-80cc-d4ca58660e6d,74ffd889-4f88-468e-a16b-a9e04d6af006,His girlfriend: Pichekidham,98efa6fb-56b5-4036-885c-6e83626f285f
01f8dee4-d063-478c-9014-fb7adc06fcc9,1be531db-88af-4d0d-9927-61b945af11d0,"antha baga adutunnav, ekkada coaching teesukuntunnav ",20fd7708-a7f5-4b7a-a61a-ec8be9062a34
01ffa596-d92e-48aa-898b-f2143023ae6a,e10dd52e-7f24-4993-932b-910c55800699,Me: Neeku ocha neeku ocha,7908d610-3fd6-46e8-af1f-53851af5b003
02020c3f-834b-4a79-99b0-ace99d979a53,fc92e946-7c27-42c3-9649-8a613ac317a8,Dad: Ndhukura ila kottaru?,057ee825-2364-40d5-83f6-b601ed1ca927
0208a211-334d-446e-a5f4-cacb4a0954ca,a85204e6-c119-4fba-ba94-87ae09c6cd1b,pora pumka,299b6de2-ab7a-413b-a598-09cf0b0c3802
020ed197-eeca-48ff-96bb-42867c0d5778,8ff630b6-27d7-4664-b33e-de6369253a55,"Vaadiki Dabbulu kaavali ante, Naa shop vaadiki Bank avuthundhi",09ecccdd-7fd5-46a5-8b5e-798694d53c70
021d3437-4f16-49c4-8dc8-09d8dd256e9f,4fcf3af2-49c1-4dad-b127-7e7649544e37,"vadu naante unnadu ",650ba78f-2100-4325-be59-19c1a8078e94
021f2e07-b6ac-44af-8af5-5d3114586b5b,75fdbcd9-5960-41e8-88e6-60689c7dfc26,my bro: sadhinchav mike...,3ab71c5c-35b0-4555-a3ab-d26d0e8b4d56
0224164c-b616-4856-b099-105b5892bc97,ea8ca2af-4eba-491e-9afa-dc928bffb1fd,"Nenu entha talented oo asaluuu ",7908d610-3fd6-46e8-af1f-53851af5b003
02241a1e-5008-4498-bff5-a4477ad1976f,90c5c570-b233-4aaf-b053-51881c5a36d1,me: veedini talents anavasarm ga adiga kada ra babu,bc01befb-20d1-4eae-848e-9e944620c447
0224f0d2-732d-4e5d-b6df-3111de9b9031,10351c91-83be-44b8-8f96-ea760b03d83e,aah! enthaku teginchado chusava..!,40627b40-2b81-41d8-83d8-66c3a150b77f
0241752d-1f04-4b19-b5f9-9786776b92f8,c39ba9dd-fae1-4bfb-b201-c839ef8e82e4,inter nibbi: tvarga pelli cheskundam ra,943e5056-45c2-477b-bee8-b9653c444329
025ce9ca-06e2-4dd2-8c67-0460b4b5d3fc,f16c8c00-156b-40b5-8118-2170b9703f94,"Hey, vallaki dabbulu enduku icchav",00a6426e-ea41-4d26-bc2d-d4fddd465ca5
02629e42-d687-4a12-8e75-f8bcf744b11e,349e7f15-0871-4fbf-8a47-027cb1f28ec1,"po ra, nenu adigi nappudu nuv em chesav ",abc25aff-5408-46f5-9471-ffd4a454376a
026b4a1d-d33e-4f01-ba9a-b388e14a5db2,ae6c9893-015e-4b08-ab4e-f1b8764adfff,Duller Me challenging my father:  Eesari exams lo ela ayina first rank kodatha,ce6a087f-e6ef-46a9-8ae1-4f5972bd32a2
02741bda-9803-48d2-a136-ae020a53ea4c,c562134a-f305-47da-ab66-e12a31516da2,Me moving bed alone in childhood:,7908d610-3fd6-46e8-af1f-53851af5b003
02768ed5-dbd9-4be4-a3f9-e0a328252163,5372c642-8e1c-4569-ad44-616c1187c37c,"hi ",2d57096c-c12b-4682-a45d-7c6e17a50d13
027afba9-7c89-44d6-8b00-43077bd3be9a,d9079449-9802-4845-a52a-2ecbc924ec37,Me: Acham Trisha laa unnaru,7c86cb06-0197-4960-8b6b-ec341437ff6b
029f4218-54bc-4fee-8ad0-16aa6c6bd28e,92ea0d9c-46a7-4deb-8600-e0fb0fc578a2,arey emaindhi ra mi friend ki,7828a548-c785-4d24-a7da-55c8826af510
02a96b85-466e-404c-837b-a299417c25fa,cc829ece-ef91-4561-9d87-48688a2c567f,"Class leader: Only nee okkadi peru istha anthe evaridhi ivvanu ",719a31ec-ccc5-470d-8de7-85c9e2f4fb4a
02c2b0c0-9eb6-483f-94a1-1c5d737433c2,8823ce29-e9e2-414e-8dc9-5a4bba3d5e11,Me: Ante akka cheppindhi ippude,32d597e9-20ee-4727-a308-97fd9fa647bb
02d35393-47df-40f9-a2fb-ed40d09e62ee,c61faf42-d058-455d-97d4-ceebd3233fe4,Dad: Nee mohaniki antha talent ledhuraaa,62df0afa-846a-4979-a82b-3471af9708ca
02dd2d5b-c491-4a40-84f7-6e64e21ed029,bab43eea-3c60-4236-8926-09b261edec68,nuvvu chala andanga untav telusa,f18b9515-5058-45e8-bfa1-8d16d304bf17
02dfd18f-2329-45fb-ad07-916560962f64,0aa2953b-2339-4e1c-a807-a7da24ea68a5,annantha kopam vastundhe,ab88e188-ca61-4c22-b760-c710d83eb732
02fce810-5b52-4b8c-a7e5-74b35f82202d,614c190f-b500-4713-b925-f3331947707b,Me: Poyaada,32d597e9-20ee-4727-a308-97fd9fa647bb
02ff2af1-410d-4830-8ad9-886b22b8bd39,9dccedd9-bf16-4808-8b06-9bd58ebde376,"me looking at my friends situation after marrying my crush:
",32d597e9-20ee-4727-a308-97fd9fa647bb
03007f53-6007-4203-a0d3-88696d2b25bc,3730506f-7527-44f4-8c5c-4a124e29414d,"vere valla abbay ",9e793cf9-0646-4896-b090-64f45dbe45b6
030db057-ef70-4f45-8fb0-cdbc7bf4cb80,bf083c25-e5a1-4b60-9e11-aca9377aea08,principle: Nuuv aravaku nenu chepthunaga,47986adc-d68c-40d8-8383-ba5910f6dc80
